बश	bs
लरकियों	ldkiyo
की	ki
बजा	wjh
से	se
चल	chl
राहा	rha
ह	h
ये	ye
हद	hdd
ह	h
इय़ार	yr
की	ki
जगह	jagah
रख	rakh
यार	yaar
तू	tu
इस	is
का	ka
नाम	naam
हामे	humhe
तो	to
लुट	loot
लिया	liya
मिलकर	milkar
हुस्न	husn
बालो	valo
ने	ne
के	ke
गलो	galo
ने	ne
की	ki
बातो	bato
ने	ne
उसे	use
करबाओ	krwao
की	ki
तुम	tm
उसके	uske
लिए	liye
कितना	kitna
हो	ho
उसे	use
अपनी	apni
सारी	sari
बाते	baten
करो	karo
बेचारा	bechara
देख	dekh
के	k
करने	krne
वाला	wala
होगा	hoga
की	ki
छोटू	chotu
ने	ne
बाजी	baaji
मार	maar
दी	di
जितना	jitna
लिख	likh
के	k
तूने	tune
हमें	hame
पाकाय़ा	pakaya
है	h
ना	na
काश	kaash
इतना	itna
अपने	apne
बन्दे	bande
के	k
सामने	saamne
गिरगिराई	gidgidaayi
होती	hoti
तो	to
वो	wo
तुझे	tujhe
अब	ab
तक	tak
की	ki
कर	kar
चुका	chuka
होता	hota
भाई	bhai
तू	tu
वालो	walo
का	ka
नाम	nam
क्यों	ku
खराब	kharab
कर	kar
रहा	raha
इतनी	itni
टट्टी	tatti
ही	he
काफ़ी	kafi
है	he
इय़ार	yr
को	ko
तूने	tune
लिख	likh
रखा	rakha
है	he
क्या	kya
तू	tu
अपनी	apni
को	ko
के	ke
अन्दर	andr
लेकर	lkr
आता	ata
था	tha
जिस	jis
दिन	din
ये	ye
बना	bana
समझ	samjh
लेना	lena
उस	us
दिन	din
में	me
से	se
फिर	fir
एक	ek
नया	naya
निकलेगा	niklega
होने	hone
क	k
बार	baad
भी	b
ये	ye
नेहि	nh
पाता	pta
किय़ा	ky
करना	krna
कितना	kitna
बड़ा	bada
गुनाह	gunah
हे	h
हट	hat
ये	ye
पानुति	panoooti
मत	mt
मारा	mara
कर	kr
रे	re
अब	ab
दुबारा	dubara
मुझे	mjhe
दवाई	dawai
ले	le
ना	na
पड़ेगा	pdega
ये	ye
करके	karke
तूने	tune
तो	to
दारु	daru
का	ka
नाम	naam
भी	bhi
डुबो	dubo
दिया	diya
जो	jo
तक	tak
पुछ	phuch
जाए	jae
वो	wo
प्यार	pyar
नही	ni
कर	kar
सकता	skta
किया	kya
यार	yaar
आज	aaj
पहली	pehli
बार	bar
डाला	dala
था	tha
वो	wo
भी	b
नहीं	nhi
किया	kiya
आपने	aapne
दादाजि	dadaji
बुढ़ापे	budaphe
मेँ	m
सठिय़ा	satiyha
ग्याय़े	gye
हो	h
नमो	namo
ऐसा	aisa
कैसे	kaise
हो	ho
सकता	sakta
हो	h
मैंने	maine
जो	jo
किया	kiya
था	tha
वही	wahi
कर	kar
देते	dete
इसे	isse
होता	hota
कुछ	kuch
किया	kiya
होता	hota
ये	ye
सब	sb
फालतु	faltu
बकवास	bakwaas
करने	krne
का	ka
कोई	koi
नही	ni
हो	h
नेकी	neki
कर	kar
दरिया	dariya
में	mein
डाल	daal
तुझे	tujhe
खुश	khush
होना	hona
चाहिए	chahiye
क	k
तेरी	teri
वजह	wajah
से	se
दो	do
उस	us
को	ko
कर	kar
पाये	paaye
अबे	abe
उल्लू	ullu
की	ki
पट्ठी	patthi
तेरा	tera
चुथिय़ा	chutiya
काट	kaat
राहा	rha
हे	h
वो	vo
अगर	agr
उसे	use
तुझसे	tjhse
प्यार	pyar
होता	hta
तो	to
शादि	shadi
ही	hi
ना	na
करता	krta
चाहे	chahe
कुछ	kuch
भी	b
करना	krna
परे	pde
अब	ab
शादि	shadi
करने	krne
के	k
बार	baad
वो	vo
तुझे	tjhe
ये	ye
बोले	bole
के	k
जानू	janu
वो	vo
शादि	shadi
करनि	krni
पड़ी	padi
पर	par
आपके	aapke
साथ	sath
जारी	jaari
रहेगा	rhega
तो	to
क्या	kya
तू	tu
बात	bat
करेगि	kregi
उस	us
से	se
नही	nahi
ना	na
इसीलिए	isiliye
ये	ye
सब	sb
नतांगी	nautanki
कर	kr
राहा	rha
हे	h
के	k
उसकी	uski
से	se
झगड़ा	jhagda
किया	kiya
देगा	dega
मैं	m
काहु	kahu
